time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-05-22 00:00:00,19.0,16.0,83.0,0.0,,110.0,7.0,,1013.0,,5.0
2024-05-22 01:00:00,20.0,16.0,78.0,0.0,,159.0,4.0,,1012.0,,5.0
2024-05-22 02:00:00,22.0,16.9,73.0,0.0,,70.0,7.0,,1011.0,,5.0
2024-05-22 03:00:00,24.0,17.0,65.0,0.0,,180.0,7.0,,1011.0,,5.0
2024-05-22 04:00:00,26.0,17.9,61.0,0.0,,197.0,4.0,,1010.0,,5.0
2024-05-22 05:00:00,29.0,18.2,52.0,0.0,,199.0,11.0,,1008.0,,5.0
2024-05-22 06:00:00,30.0,19.1,52.0,0.0,,160.0,11.0,,1007.0,,
2024-05-22 07:00:00,30.0,18.1,49.0,0.0,,200.0,14.0,,1007.0,,
2024-05-22 08:00:00,31.0,18.0,46.0,0.0,,200.0,18.0,,1006.0,,
2024-05-22 09:00:00,30.0,20.0,55.0,0.0,,140.0,11.0,,1005.0,,
2024-05-22 10:00:00,28.0,21.1,66.0,0.0,,90.0,7.0,,1005.0,,
2024-05-22 11:00:00,26.0,21.0,74.0,0.0,,70.0,11.0,,1006.0,,
2024-05-22 12:00:00,26.0,21.0,74.0,0.0,,20.0,11.0,,1007.0,,
2024-05-22 13:00:00,27.0,20.1,66.0,0.0,,140.0,11.0,,1007.0,,
2024-05-22 14:00:00,27.0,20.1,66.0,0.0,,160.0,14.0,,1005.0,,
2024-05-22 15:00:00,27.0,20.1,66.0,0.0,,210.0,7.0,,1005.0,,
2024-05-22 16:00:00,25.0,20.0,74.0,0.0,,170.0,4.0,,1005.0,,
2024-05-22 17:00:00,24.0,19.1,74.0,0.0,,110.0,7.0,,1004.0,,
2024-05-22 18:00:00,22.0,19.0,83.0,0.0,,120.0,7.0,,1004.0,,
2024-05-22 19:00:00,22.0,19.0,83.0,0.0,,120.0,4.0,,1004.0,,
2024-05-22 20:00:00,22.0,19.0,83.0,0.0,,120.0,7.0,,1004.0,,
2024-05-22 21:00:00,22.0,19.0,83.0,0.0,,90.0,7.0,,1004.0,,
2024-05-22 22:00:00,24.0,19.9,78.0,0.0,,100.0,7.0,,1004.0,,
2024-05-22 23:00:00,25.0,20.0,74.0,0.0,,120.0,7.0,,1005.0,,
2024-05-23 00:00:00,26.0,20.1,70.0,0.0,,130.0,7.0,,1005.0,,
